h3,lst_c,green_pct
892830ce8abffff,22.7,0.0
892830ce8afffff,22.66,0.0
892830ce8b3ffff,30.57,29.21
892830ce8b7ffff,29.06,35.06
892830ce8bbffff,27.46,17.29
892830ce8c3ffff,25.98,0.0
892830ce8c7ffff,25.21,0.0
892830ce8cbffff,23.13,0.0
892830ce8cfffff,22.88,0.0
892830ce8d3ffff,31.87,13.24
892830ce8d7ffff,29.97,9.92
892830ce8dbffff,29.95,4.1
892830ce913ffff,22.27,0.0
892830ce917ffff,22.19,0.0
892830ce983ffff,27.49,29.11
892830ce987ffff,26.51,25.87
892830ce98bffff,22.53,0.0
892830ce98fffff,22.54,0.0
892830ce993ffff,29.04,40.02
892830ce997ffff,29.07,38.89
892830ce99bffff,26.32,14.77
892830ce9a3ffff,22.37,0.0
892830ce9a7ffff,22.27,0.0
892830ce9abffff,22.15,0.0
892830ce9b3ffff,23.09,0.0
892830ce9b7ffff,22.48,0.0
892830ce9bbffff,22.42,0.0
892830ce9c3ffff,22.43,0.0
892830ce9c7ffff,22.32,0.0
892830ce9d3ffff,22.91,0.0
892830ce9d7ffff,22.6,0.0
892830ce9dbffff,22.56,0.0
892830cec03ffff,46.07,12.75
892830cec07ffff,46.56,17.13
892830cec0bffff,44.63,13.62
892830cec0fffff,44.92,12.8
892830cec13ffff,45.69,5.39
892830cec17ffff,46.83,14.69
892830cec1bffff,44.58,10.97
892830cec23ffff,41.03,10.29
892830cec27ffff,40.48,13.79
892830cec2bffff,40.16,22.63
892830cec2fffff,41.49,26.07
892830cec33ffff,45.91,12.16
892830cec37ffff,45.0,10.53
892830cec3bffff,44.4,6.52
892830cec43ffff,44.31,12.27
892830cec47ffff,42.82,14.68
892830cec4bffff,42.59,1.05
892830cec4fffff,40.93,21.64
892830cec53ffff,45.5,12.95
892830cec57ffff,45.28,13.87
892830cec5bffff,43.96,9.28
892830cec63ffff,40.3,21.33
892830cec67ffff,38.17,21.56
892830cec6bffff,34.11,36.8
892830cec6fffff,33.93,22.23
892830cec73ffff,42.24,16.98
892830cec77ffff,42.05,16.33
892830cec7bffff,40.26,18.97
892830cec83ffff,48.14,16.02
892830cec87ffff,48.94,14.03
892830cec8bffff,46.55,14.98
892830cec8fffff,47.78,10.1
892830cec93ffff,46.24,14.76
892830cec97ffff,48.56,16.78
892830cec9bffff,47.21,14.79
892830ceca3ffff,48.43,16.24
892830ceca7ffff,47.09,16.19
892830cecabffff,47.02,14.14
892830cecafffff,45.58,17.66
892830cecb3ffff,48.16,7.79
892830cecb7ffff,47.06,9.29
892830cecbbffff,47.76,10.52
892830cecc3ffff,47.25,11.34
892830cecc7ffff,46.19,9.81
892830ceccbffff,46.94,8.1
892830ceccfffff,46.06,9.9
892830cecd3ffff,47.99,10.04
892830cecd7ffff,43.89,25.8
892830cecdbffff,48.29,14.23
892830ced03ffff,42.69,11.76
892830ced07ffff,43.57,10.78
892830ced0bffff,31.58,45.0
892830ced0fffff,33.1,41.01
