h3,land,land_frac,wc_code
892830ce187ffff,developed,0.801,50
892830ce18bffff,developed,0.885,50
892830ce18fffff,developed,0.813,50
892830ce193ffff,developed,0.955,50
892830ce197ffff,developed,0.95,50
892830ce19bffff,developed,0.829,50
892830ce1a3ffff,developed,0.854,50
892830ce1a7ffff,developed,0.851,50
892830ce1abffff,developed,0.862,50
892830ce1afffff,developed,0.931,50
892830ce1b3ffff,developed,0.744,50
892830ce1b7ffff,developed,0.852,50
892830ce1bbffff,developed,0.76,50
892830ce1c3ffff,developed,0.626,50
892830ce1c7ffff,developed,0.686,50
892830ce1cbffff,developed,0.658,50
892830ce1cfffff,developed,0.926,50
892830ce1d3ffff,developed,0.83,50
892830ce1d7ffff,developed,0.721,50
892830ce1dbffff,developed,0.809,50
892830ce203ffff,developed,0.318,50
892830ce207ffff,developed,0.53,50
892830ce20fffff,grassland,0.527,30
892830ce213ffff,grassland,0.608,30
892830ce217ffff,developed,0.727,50
892830ce223ffff,developed,0.339,50
892830ce227ffff,developed,0.956,50
892830ce22bffff,open water,0.422,80
892830ce22fffff,open water,0.483,80
892830ce233ffff,grassland,0.346,30
892830ce237ffff,developed,0.68,50
892830ce23bffff,bare ground,0.33,60
892830ce263ffff,open water,0.929,80
892830ce267ffff,open water,0.982,80
892830ce26fffff,open water,0.968,80
892830ce273ffff,wetland,0.904,90
892830ce277ffff,wetland,0.581,90
892830ce283ffff,developed,0.724,50
892830ce287ffff,cropland,0.473,40
892830ce28fffff,grassland,0.377,30
892830ce293ffff,developed,0.725,50
892830ce297ffff,developed,0.764,50
892830ce29bffff,developed,0.828,50
892830ce2a3ffff,grassland,0.815,30
892830ce2a7ffff,developed,0.456,50
892830ce2abffff,grassland,0.503,30
892830ce2afffff,grassland,0.614,30
892830ce2b3ffff,grassland,0.349,30
892830ce2b7ffff,developed,0.423,50
892830ce2bbffff,cropland,0.795,40
892830ce303ffff,developed,0.915,50
892830ce307ffff,developed,0.592,50
892830ce30bffff,developed,0.517,50
892830ce30fffff,open water,0.502,80
892830ce313ffff,developed,0.965,50
892830ce317ffff,developed,0.936,50
892830ce31bffff,developed,0.872,50
892830ce323ffff,open water,0.75,80
892830ce327ffff,open water,0.775,80
892830ce32bffff,wetland,0.679,90
892830ce32fffff,wetland,0.579,90
892830ce333ffff,developed,0.753,50
892830ce337ffff,developed,0.451,50
892830ce33bffff,open water,0.752,80
892830ce343ffff,open water,0.554,80
892830ce347ffff,open water,0.854,80
892830ce34bffff,open water,1.0,80
892830ce34fffff,open water,0.452,80
892830ce353ffff,developed,0.929,50
892830ce357ffff,developed,0.552,50
892830ce35bffff,developed,0.416,50
892830ce363ffff,wetland,0.986,90
892830ce367ffff,wetland,0.988,90
892830ce36bffff,wetland,0.964,90
892830ce36fffff,wetland,0.973,90
892830ce373ffff,open water,0.527,80
892830ce377ffff,wetland,0.656,90
892830ce37bffff,wetland,0.672,90
