id,previous_rank,current_rank,previous_score,current_score,previous_pop,current_pop,previous_ac,current_ac,rank_change
386,388,388,22.5,22.5,78,78,89.19,89.19,0
454,389,389,22.0,22.0,100,100,91.41,91.41,0
306,390,390,20.9,20.9,174,174,99.3,99.3,0
205,391,391,20.4,20.4,102,102,92.9,92.9,0
453,392,392,20.3,20.3,81,81,93.8,93.8,0
433,393,393,19.9,19.9,69,69,92.7,92.7,0
424,394,394,19.8,19.8,30,30,86.9,86.9,0
339,395,395,19.6,19.6,103,103,99.3,99.3,0
212,396,396,19.4,19.4,35,35,84.2,84.2,0
338,397,397,19.3,19.3,231,231,99.3,99.3,0
74,398,398,17.9,17.9,50,50,84.9,84.9,0
470,399,399,17.6,17.6,169,169,99.3,99.3,0
94,400,400,17.3,17.3,178,178,93.8,93.8,0
415,401,401,17.2,17.2,9,9,87.59,87.59,0
254,402,402,16.4,16.4,72,72,86.9,86.9,0
265,403,403,14.3,14.3,1,1,86.9,86.9,0
310,404,404,14.1,14.1,208,208,99.3,99.3,0
434,405,405,13.9,13.9,25,25,92.7,92.7,0
256,406,406,13.6,13.6,73,73,86.9,86.9,0
210,407,407,13.3,13.3,226,226,88.48,88.48,0
428,408,408,13.1,13.1,10,10,92.7,92.7,0
538,409,409,12.5,12.5,16,16,92.7,92.7,0
441,410,410,12.1,12.1,38,38,92.7,92.7,0
288,411,411,10.7,10.7,212,212,88.82,88.82,0
436,412,412,9.1,9.1,128,128,88.91,88.91,0
200,413,413,9.0,9.0,140,140,89.59,89.59,0
209,414,414,6.2,6.2,257,257,87.6,87.6,0
359,415,415,2.5,2.5,42,42,80.9,80.9,0
523,416,416,1.2,1.2,24,24,92.7,92.7,0
363,417,417,0.8,0.8,38,38,80.9,80.9,0
358,418,418,0.8,0.8,10,10,80.9,80.9,0
211,419,419,0.0,0.0,222,222,88.37,88.37,0
