h3,land,land_frac,wc_code
892830d7257ffff,grassland,0.964,30
892830d725bffff,grassland,0.979,30
892830d7273ffff,developed,0.517,50
892830d7277ffff,woodland,0.53,10
892830d7283ffff,grassland,0.424,30
892830d7287ffff,grassland,0.552,30
892830d728bffff,grassland,0.636,30
892830d728fffff,grassland,0.986,30
892830d7293ffff,developed,0.448,50
892830d7297ffff,grassland,0.621,30
892830d729bffff,developed,0.411,50
892830d72a3ffff,grassland,0.788,30
892830d72a7ffff,developed,0.59,50
892830d72abffff,grassland,0.451,30
892830d72afffff,grassland,0.798,30
892830d72b3ffff,developed,0.588,50
892830d72b7ffff,developed,0.74,50
892830d72bbffff,grassland,0.977,30
892830d72c3ffff,grassland,0.392,30
892830d72c7ffff,woodland,0.374,10
892830d72cbffff,grassland,0.996,30
892830d72cfffff,developed,0.512,50
892830d72d3ffff,developed,0.563,50
892830d72d7ffff,woodland,0.471,10
892830d72dbffff,grassland,0.816,30
892830d7313ffff,grassland,0.706,30
892830d738bffff,grassland,0.458,30
892830d7393ffff,developed,0.41,50
892830d739bffff,woodland,0.443,10
892830d73c3ffff,grassland,0.582,30
892830d73c7ffff,grassland,0.992,30
892830d73cfffff,grassland,1.0,30
892830d73d3ffff,developed,0.544,50
892830d73d7ffff,developed,0.711,50
892830d73dbffff,grassland,0.957,30
892830d7403ffff,developed,0.797,50
892830d7407ffff,developed,0.628,50
892830d740bffff,developed,0.653,50
892830d740fffff,developed,0.658,50
892830d7413ffff,developed,0.822,50
892830d7417ffff,developed,0.73,50
892830d741bffff,developed,0.59,50
892830d7423ffff,woodland,0.604,10
892830d7427ffff,developed,0.491,50
892830d742bffff,developed,0.606,50
892830d742fffff,developed,0.46,50
892830d7433ffff,woodland,0.634,10
892830d7437ffff,woodland,0.587,10
892830d743bffff,developed,0.505,50
892830d7443ffff,developed,0.59,50
892830d7447ffff,developed,0.718,50
892830d744bffff,grassland,0.526,30
892830d744fffff,woodland,0.507,10
892830d7453ffff,developed,0.824,50
892830d7457ffff,developed,0.701,50
892830d745bffff,woodland,0.608,10
892830d7463ffff,developed,0.545,50
892830d7467ffff,developed,0.633,50
892830d746bffff,woodland,0.369,10
892830d746fffff,grassland,0.72,30
892830d7473ffff,developed,0.556,50
892830d7477ffff,developed,0.737,50
892830d747bffff,woodland,0.555,10
892830d7483ffff,developed,0.78,50
892830d7487ffff,developed,0.681,50
892830d748bffff,developed,0.833,50
892830d748fffff,developed,0.729,50
892830d7493ffff,developed,0.747,50
892830d7497ffff,developed,0.644,50
892830d749bffff,developed,0.669,50
892830d74a3ffff,developed,0.5,50
892830d74a7ffff,developed,0.505,50
892830d74abffff,developed,0.427,50
892830d74afffff,developed,0.594,50
892830d74b3ffff,developed,0.568,50
892830d74b7ffff,grassland,0.594,30
892830d74bbffff,developed,0.43,50
892830d74c3ffff,developed,0.75,50
892830d74c7ffff,developed,0.633,50
892830d74cbffff,developed,0.832,50
892830d74cfffff,developed,0.851,50
892830d74d3ffff,developed,0.784,50
892830d74d7ffff,developed,0.84,50
892830d74dbffff,developed,0.718,50
892830d7503ffff,woodland,0.423,10
892830d7507ffff,developed,0.729,50
892830d750bffff,developed,0.768,50
892830d750fffff,developed,0.629,50
892830d7513ffff,woodland,0.425,10
892830d7517ffff,developed,0.538,50
892830d751bffff,developed,0.531,50
892830d7523ffff,woodland,0.507,10
892830d7527ffff,developed,0.62,50
892830d752bffff,developed,0.647,50
892830d752fffff,developed,0.568,50
892830d7533ffff,woodland,0.51,10
892830d7537ffff,developed,0.504,50
892830d753bffff,developed,0.572,50
892830d7543ffff,woodland,0.357,10
892830d7547ffff,developed,0.542,50
892830d754bffff,developed,0.596,50
892830d754fffff,developed,0.739,50
892830d7553ffff,developed,0.786,50
892830d7557ffff,developed,0.699,50
892830d755bffff,developed,0.854,50
892830d7563ffff,developed,0.61,50
892830d7567ffff,developed,0.627,50
892830d756bffff,woodland,0.419,10
892830d756fffff,developed,0.657,50
892830d7573ffff,developed,0.61,50
892830d7577ffff,developed,0.678,50
892830d757bffff,developed,0.628,50
892830d7583ffff,woodland,0.683,10
892830d7587ffff,grassland,0.49,30
892830d758bffff,developed,0.547,50
892830d758fffff,developed,0.412,50
892830d759bffff,woodland,0.677,10
892830d75a3ffff,woodland,0.465,10
892830d75a7ffff,grassland,0.617,30
892830d75abffff,developed,0.576,50
892830d75afffff,woodland,0.66,10
892830d75b3ffff,woodland,0.472,10
892830d75bbffff,woodland,0.627,10
892830d75c3ffff,grassland,0.527,30
892830d75c7ffff,grassland,0.636,30
892830d75cbffff,developed,0.557,50
892830d75cfffff,developed,0.699,50
892830d75d3ffff,grassland,0.387,30
892830d75d7ffff,developed,0.526,50
892830d75dbffff,developed,0.735,50
892830d7603ffff,developed,0.612,50
892830d7607ffff,grassland,0.91,30
892830d760bffff,developed,0.393,50
892830d760fffff,developed,0.463,50
892830d7613ffff,grassland,0.627,30
892830d7617ffff,grassland,0.997,30
892830d761bffff,grassland,0.791,30
892830d7623ffff,woodland,0.359,10
892830d7627ffff,grassland,0.447,30
892830d762bffff,developed,0.361,50
892830d762fffff,developed,0.351,50
892830d7633ffff,developed,0.594,50
892830d7637ffff,grassland,0.69,30
892830d763bffff,grassland,0.65,30
892830d7643ffff,developed,0.928,50
892830d7647ffff,developed,0.701,50
892830d764bffff,developed,0.547,50
892830d764fffff,developed,0.653,50
892830d7653ffff,developed,0.936,50
892830d7657ffff,developed,0.804,50
892830d765bffff,developed,0.717,50
892830d7663ffff,developed,0.663,50
892830d7667ffff,grassland,0.587,30
892830d766bffff,woodland,0.506,10
892830d766fffff,developed,0.52,50
892830d7673ffff,developed,0.507,50
892830d7677ffff,grassland,0.62,30
892830d767bffff,developed,0.623,50
892830d7683ffff,grassland,1.0,30
892830d7687ffff,grassland,0.994,30
892830d768bffff,grassland,1.0,30
892830d768fffff,grassland,1.0,30
892830d7693ffff,grassland,1.0,30
892830d7697ffff,grassland,0.824,30
892830d769bffff,grassland,0.991,30
892830d76a3ffff,grassland,0.994,30
892830d76a7ffff,grassland,0.549,30
892830d76abffff,grassland,0.874,30
892830d76afffff,grassland,0.438,30
892830d76b3ffff,grassland,0.767,30
892830d76b7ffff,grassland,0.45,30
892830d76bbffff,grassland,0.999,30
892830d76c3ffff,grassland,0.606,30
892830d76c7ffff,grassland,0.767,30
892830d76cbffff,developed,0.757,50
892830d76cfffff,grassland,0.462,30
892830d76d3ffff,developed,0.556,50
892830d76d7ffff,grassland,0.576,30
892830d76dbffff,grassland,0.605,30
8928346da03ffff,grassland,0.425,30
8928346da07ffff,grassland,0.448,30
8928346da0bffff,developed,0.751,50
8928346da0fffff,developed,0.727,50
8928346da13ffff,woodland,0.424,10
8928346da17ffff,grassland,0.584,30
8928346da1bffff,developed,0.737,50
8928346da23ffff,woodland,0.357,10
8928346da27ffff,grassland,0.428,30
8928346da2bffff,developed,0.65,50
8928346da2fffff,grassland,0.438,30
8928346da33ffff,grassland,0.672,30
8928346da37ffff,grassland,0.621,30
8928346da3bffff,woodland,0.443,10
8928346da43ffff,developed,0.459,50
8928346da47ffff,developed,0.543,50
8928346da4bffff,grassland,0.606,30
8928346da4fffff,developed,0.738,50
8928346da53ffff,developed,0.77,50
8928346da57ffff,developed,0.59,50
8928346da5bffff,developed,0.49,50
8928346da63ffff,developed,0.358,50
8928346da67ffff,developed,0.696,50
8928346da6bffff,developed,0.623,50
8928346da6fffff,developed,0.716,50
8928346da73ffff,developed,0.598,50
8928346da77ffff,developed,0.666,50
8928346da7bffff,developed,0.698,50
8928346da83ffff,woodland,0.641,10
8928346da8bffff,grassland,0.584,30
8928346da8fffff,grassland,0.747,30
8928346daabffff,grassland,0.885,30
8928346dac3ffff,developed,0.886,50
8928346dac7ffff,developed,0.699,50
8928346dacbffff,developed,0.797,50
8928346dacfffff,developed,0.951,50
8928346dad7ffff,developed,0.601,50
8928346dadbffff,developed,0.774,50
8928346db43ffff,grassland,0.67,30
8928346db4bffff,woodland,0.54,10
8928346db4fffff,woodland,0.534,10
8928346db53ffff,grassland,0.899,30
8928346db5bffff,grassland,0.484,30
8928346db6bffff,woodland,0.569,10
8928346db7bffff,woodland,0.515,10
8928346dbcbffff,woodland,0.716,10
