GEOID,pop,pop_moe,income,income_moe,units,units_moe,occupied,occupied_moe,pop65,pop65_moe,acs_year
060133032101,1946,245,106146.0,27457.0,923,141,859,110,736,146.0719001040241,2024
060133032102,1454,324,99100.0,29695.0,983,188,960,192,1381,287.87844657077056,2024
060133032111,2405,467,151583.0,49745.0,905,134,843,135,290,125.23577763562615,2024
060133032112,1893,682,172000.0,91743.0,738,300,738,300,162,81.1664955508121,2024
060133040011,3230,713,129107.0,32843.0,1418,207,1351,203,1519,251.67637950352037,2024
060133040012,2673,545,230921.0,43277.0,843,193,782,156,477,141.97534997315555,2024
060133040021,1903,911,76526.0,29171.0,577,149,577,149,255,105.30432089900205,2024
060133040031,1524,314,125450.0,54324.0,665,119,615,115,398,104.05767631462851,2024
060133040032,1722,488,129167.0,57801.0,913,156,760,159,551,150.8343462212768,2024
060133040041,2181,287,142045.0,38699.0,1062,177,924,166,626,179.95555006723188,2024
060133040042,1139,319,135625.0,79664.0,765,166,577,143,246,92.66067126888301,2024
060133040061,3843,385,167208.0,20549.0,1166,94,1113,101,448,123.76186811776881,2024
060133040071,1726,689,174960.0,115994.0,513,225,513,225,304,285.89683454001374,2024
060133040072,2023,755,,,618,180,607,184,171,92.05976319760984,2024
060133040073,1170,477,160926.0,35671.0,455,171,416,183,172,81.69455306200041,2024
060133050001,1812,942,,,516,220,516,220,297,153.4177303964571,2024
060133050002,1309,703,106719.0,26603.0,439,234,439,234,291,277.3625785862253,2024
060133050003,667,539,59058.0,3472.0,241,161,195,147,16,51.42956348249516,2024
060133050004,1825,674,64969.0,34975.0,527,180,487,184,38,63.08724118235002,2024
060133050005,1871,848,39252.0,18515.0,796,265,751,269,566,334.8432469081615,2024
060133060021,1695,648,108583.0,8445.0,575,200,575,200,437,200.43203336792251,2024
060133060022,2917,1072,98170.0,47698.0,1044,348,963,351,301,116.42164747159353,2024
060133060031,1581,514,72386.0,32416.0,481,138,481,138,180,66.19667665374146,2024
060133060032,1612,468,41869.0,35629.0,726,317,713,319,419,291.32456127144513,2024
060133060033,1888,481,59750.0,47724.0,632,153,632,153,204,92.19002115196633,2024
060133060041,2631,737,107367.0,11080.0,862,231,843,237,415,199.7298175035465,2024
060133060042,846,359,80132.0,31143.0,429,150,412,149,163,86.85620300243386,2024
060133071011,1976,614,104722.0,75368.0,737,147,654,155,212,104.86658190291128,2024
060133071012,911,351,60833.0,22481.0,376,109,376,109,239,122.87798826478239,2024
060133071013,1708,539,130754.0,34557.0,605,155,585,153,421,161.63229875244613,2024
060133071021,551,262,,,202,93,202,93,62,54.67174773134658,2024
060133071022,1572,526,39836.0,16201.0,507,138,507,138,161,99.86490875177326,2024
060133071023,1527,524,83590.0,43180.0,491,152,491,152,210,125.13992168768526,2024
060133071024,2347,829,91114.0,18315.0,724,219,673,221,319,182.28274740084427,2024
060133072011,2438,864,95833.0,29109.0,630,172,630,172,577,243.00205760445732,2024
060133072012,1663,475,49621.0,10248.0,588,131,564,128,133,89.25245094673872,2024
060133072021,1858,593,88652.0,14832.0,597,163,565,164,122,85.18215775618742,2024
060133072022,500,251,,,234,114,234,114,36,60.0,2024
060133072023,1852,541,47015.0,29082.0,809,158,684,154,102,92.2496612459905,2024
060133072041,1818,468,115398.0,17911.0,527,113,517,109,228,104.62313319720452,2024
060133072042,943,422,109922.0,33441.0,415,162,377,152,149,77.32399368889322,2024
060133072043,1943,472,89297.0,24047.0,655,157,655,157,316,155.22564221158822,2024
060133072051,1793,909,69968.0,6947.0,757,269,714,268,102,95.01052573267869,2024
060133072052,2316,637,57969.0,27408.0,1039,268,997,283,345,174.01436722293937,2024
060133072053,1176,532,74861.0,72147.0,428,154,428,154,169,98.16312953446422,2024
060133072054,1816,747,94949.0,28977.0,750,294,750,294,351,164.69972677572966,2024
060133080011,1566,748,66293.0,13413.0,829,419,796,423,581,396.4580684006822,2024
060133080012,2273,976,151410.0,54573.0,715,234,715,234,353,163.1165227682346,2024
060133080013,2736,1454,112468.0,103804.0,877,389,877,389,241,175.18846994023323,2024
060133080014,1209,520,75500.0,49242.0,538,179,538,179,445,222.64994947226015,2024
060133080021,2526,497,119010.0,45194.0,746,118,736,119,183,93.01075206662937,2024
060133080022,2059,481,120804.0,33440.0,740,133,729,134,198,75.50496672405067,2024
060133080023,561,210,177557.0,130006.0,183,65,183,65,65,56.06246516163912,2024
060133090001,1624,435,76053.0,23115.0,614,131,614,131,493,171.81676286090365,2024
060133090002,750,378,137635.0,64687.0,272,104,272,104,210,96.56086163658648,2024
060133090003,1520,494,88900.0,31436.0,512,134,512,134,236,108.94494022211403,2024
060133100001,1322,402,80954.0,20401.0,473,134,473,134,219,126.68070097690493,2024
060133100002,1583,533,,,693,283,693,283,380,294.2295022597156,2024
060133100003,2037,649,90625.0,83677.0,545,141,545,141,95,95.37295214053091,2024
060133100004,1479,462,87250.0,39587.0,409,107,409,107,198,102.82995672468213,2024
060133110001,1182,601,,,399,172,354,167,109,72.47068372797375,2024
060133110002,2083,759,,,582,199,582,199,346,173.58283325260018,2024
060133110003,2250,518,95513.0,23537.0,671,124,671,124,128,69.67783004657937,2024
060133120001,3106,433,71375.0,28553.0,984,151,885,69,333,97.89790600416333,2024
060133131021,3327,541,73661.0,34074.0,1171,158,1113,170,328,143.79151574414954,2024
060133131022,1405,484,103051.0,42385.0,498,143,498,143,315,135.7976435730753,2024
060133131041,1690,503,98170.0,43807.0,532,135,503,132,248,118.83602147497197,2024
060133131042,1334,694,57927.0,4206.0,573,198,548,195,229,105.27582818482124,2024
060133131051,1818,616,82301.0,62089.0,780,248,741,247,423,261.3273808845908,2024
060133131052,1911,527,68813.0,29088.0,726,169,683,157,483,219.20766409959302,2024
060133131053,2004,642,67410.0,22122.0,659,197,659,197,11,49.79959839195493,2024
060133131061,3428,908,206552.0,26809.0,908,284,908,284,394,143.3980474065111,2024
060133131062,3462,1246,115021.0,43355.0,1289,382,1209,380,492,156.90761613127643,2024
060133131071,1095,429,118438.0,82807.0,299,99,299,99,93,49.53786430600334,2024
060133131072,1633,473,185833.0,36242.0,555,112,548,112,419,142.59733517846678,2024
