h3,pop,pct65,income,ac_est,ac_src,occupied,ac_homes,ac_covered_homes,ac_coverage,acs_year
8828308d43fffff,167.0,21.18,123564.71383498167,63.5,lace,65.84340881773778,41.81056459926349,65.84340881773778,1.0,2024
8828308d45fffff,213.0,12.66,113864.76439596487,63.79,lace,65.97612525405947,42.085117505378804,65.97612525405947,1.0,2024
8828308d47fffff,256.0,12.44,113371.52337283555,63.5,lace,79.09504851318461,50.225355805872226,79.09504851318461,1.0,2024
8828308d49fffff,202.0,16.9,118566.457083293,63.5,lace,70.96477323874544,45.06263100660335,70.96477323874544,1.0,2024
8828308d4bfffff,181.0,19.25,121313.12705652369,63.5,lace,67.91472506309233,43.125850415063624,67.91472506309233,1.0,2024
8828308d4dfffff,252.0,12.43,113379.91547960958,63.53,lace,77.81044393490309,49.429483906575754,77.81044393490309,1.0,2024
8828308d51fffff,142.0,25.53,128631.0,63.5,lace,62.16963947988861,39.47772106972927,62.16963947988861,1.0,2024
8828308d53fffff,200.0,22.94,135916.53244155654,63.66,lace,81.65492415849623,51.97945757246253,81.65492415849623,1.0,2024
8828308d55fffff,151.0,23.9,126732.67475674168,63.5,lace,63.41183328534138,40.26651413619178,63.41183328534138,1.0,2024
8828308d57fffff,142.0,25.53,128631.0,63.5,lace,62.16553822355762,39.47511677195909,62.16553822355762,1.0,2024
8828308d59fffff,997.0,23.29,132081.03067376983,64.44,lace,411.2092773655114,264.9664311566197,411.2092773655114,1.0,2024
8828308d5bfffff,1276.0,24.48,140440.06996121875,64.68,lace,512.0165403977473,331.1810925536129,512.0165403977473,1.0,2024
8828308d5dfffff,143.0,25.53,128631.0,63.5,lace,62.17840585304435,39.483287716683165,62.17840585304435,1.0,2024
8828308d61fffff,21.0,26.13,142368.0,77.1,lace,7.5849299164413,5.847980965576243,7.5849299164413,1.0,2024
8828308d63fffff,209.0,23.47,141031.59843389594,76.16,lace,61.74446747859109,47.02727832934278,61.74446747859109,1.0,2024
8828308d65fffff,21.0,26.13,142368.0,77.1,lace,7.585498564251858,5.848419393038182,7.585498564251858,1.0,2024
8828308d67fffff,136.0,23.51,141163.39748627105,76.23,lace,40.572006120024106,30.928953669669486,40.572006120024106,1.0,2024
8828308d69fffff,39.0,19.4,128139.68405656601,70.94,lace,12.844058538063134,9.11183282196934,12.844058538063134,1.0,2024
8828308d6bfffff,63.0,16.2,121437.01642944709,67.67,lace,20.36518411216303,13.781755319144327,20.36518411216303,1.0,2024
8828308d6dfffff,21.0,26.13,142368.0,77.1,lace,7.5859992398957035,5.848805413959587,7.5859992398957035,1.0,2024
8828308d81fffff,182.0,15.33,137406.21503704626,56.62,lace,55.12574204982125,31.212776279623167,55.12574204982125,1.0,2024
8828308d83fffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308d85fffff,1269.0,15.85,159466.3044976163,53.7,lace,402.2429298764449,216.00445334365094,402.2429298764449,1.0,2024
8828308d87fffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308d89fffff,1055.0,18.39,98582.01496517053,56.7,lace,292.69640851941244,165.94551303619684,292.69640851941244,1.0,2024
8828308d8bfffff,146.0,12.62,86250.0,68.2,lace,40.968482458378496,27.940505036614137,40.968482458378496,1.0,2024
8828308d8dfffff,2058.0,20.76,87076.23562779116,53.21,lace,680.5814219359295,362.1651028125667,680.5814219359295,1.0,2024
8828308d91fffff,1.0,12.62,86250.0,68.2,lace,0.18049478743675573,0.12309744503186743,0.18049478743675573,1.0,2024
8828308d93fffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308d95fffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308d97fffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308d99fffff,159.0,12.62,86250.0,68.2,lace,44.599837017546164,30.417088845966486,44.599837017546164,1.0,2024
8828308d9bfffff,54.0,12.62,86250.0,68.2,lace,15.173614046908757,10.348404779991773,15.173614046908757,1.0,2024
8828308d9dfffff,79.0,12.62,86250.0,68.2,lace,22.082745327056738,15.060432313052695,22.082745327056738,1.0,2024
8828308da1fffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308da3fffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308da5fffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308da7fffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308da9fffff,1682.0,19.87,150615.90923494173,55.11,lace,523.1378155167648,288.27560778145704,523.1378155167648,1.0,2024
8828308dabfffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308dadfffff,998.0,18.08,140564.31120202993,55.72,lace,303.1698919594727,168.91495807918074,303.1698919594727,1.0,2024
8828308db1fffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308db3fffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308db5fffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308db7fffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308db9fffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308dbbfffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308dbdfffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308dc1fffff,1348.0,23.29,95507.18702914624,56.22,lace,592.6639355828516,333.1712208332233,592.6639355828516,1.0,2024
8828308dc3fffff,1411.0,6.72,117789.89645143092,67.41,lace,555.4790396377366,374.44137556644813,555.4790396377366,1.0,2024
