h3,canopy_pct,row_canopy_pct,canopy_m2,row_m2,assessed_m2,coverage_frac,canopy_source,canopy_year,canopy_quality
882830125bfffff,13.938233902533442,4.449659815565512,13999.0,14510.0,100435.68,0.1311447341779976,usfs-2022,2022,partial
882830125dfffff,33.13184195799668,0.0,253640.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301261fffff,21.689447078285134,23.334278423589453,166090.0,15575.0,,,chm-legacy,2009-2020,coverage-unknown
8828301263fffff,15.057420800887307,2.7210884353741496,115288.0,2471.0,,,chm-legacy,2009-2020,coverage-unknown
8828301265fffff,26.724536181535957,13.65392872477458,204661.0,23167.0,,,chm-legacy,2009-2020,coverage-unknown
8828301267fffff,25.0,2.2582921665490474,191428.0,7978.0,,,chm-legacy,2009-2020,coverage-unknown
8828301269fffff,34.91726849734086,37.00470114170584,267402.0,10806.0,,,chm-legacy,2009-2020,coverage-unknown
882830126bfffff,20.19315675840611,35.69421023046655,154621.0,13179.0,,,chm-legacy,2009-2020,coverage-unknown
882830126dfffff,18.64132595050795,4.143269084838367,142769.0,36380.0,,,chm-legacy,2009-2020,coverage-unknown
8828301281fffff,18.799051548525807,7.124507982207552,143851.0,111022.0,765205.2,0.999997527819687,usfs-2022,2022,full
8828301283fffff,14.15461883104234,8.911660029669516,108297.0,145670.0,765100.08,0.9999993886337772,usfs-2022,2022,full
8828301285fffff,11.773057150599634,2.5551664049964633,85708.0,81331.0,728004.96,0.9513145567556133,usfs-2022,2022,partial
8828301287fffff,11.131864064569028,2.594034245608374,79473.0,86934.0,713922.48,0.933042277257368,usfs-2022,2022,partial
8828301289fffff,12.800427902478129,8.040458569790296,97956.0,89779.0,765258.48,0.9999998647880104,usfs-2022,2022,full
882830128bfffff,13.120645290903624,13.829411633259593,100393.0,69412.0,765154.44,1.0,usfs-2022,2022,full
882830128dfffff,9.342738602135327,6.720650443269928,51834.0,71287.0,554803.92,0.7249366981422889,usfs-2022,2022,partial
8828301291fffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301293fffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301295fffff,8.65331773417784,8.49805113715201,34748.0,52229.0,401560.2,0.5249194275538801,usfs-2022,2022,partial
8828301297fffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301299fffff,5.446214973064234,20.277604341770328,13146.0,17927.0,241374.24,0.3155258426258175,usfs-2022,2022,partial
882830129bfffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
882830129dfffff,12.967849812582713,9.638502212150641,76584.0,45219.0,590564.52,0.7719338563110526,usfs-2022,2022,partial
88283012a1fffff,10.855765039232782,0.0,2869.0,0.0,26426.88,0.03453295953307698,usfs-2022,2022,partial
88283012a3fffff,3.5788418659713694,0.0,8870.0,8848.0,247836.6,0.3239021351530103,usfs-2022,2022,partial
88283012a5fffff,21.900442876340986,0.0,167506.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
88283012a7fffff,7.043183844281339,0.0,53863.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
88283012a9fffff,4.405964842137226,2.8202595456248507,23089.0,10271.0,524038.68,0.6847341163276119,usfs-2022,2022,partial
88283012abfffff,3.806313042059759,0.0,504.0,0.0,13241.16,0.017303944177658282,usfs-2022,2022,partial
88283012adfffff,66.39427987742594,0.0,234.0,0.0,352.44,0.00046048200419427146,usfs-2022,2022,partial
88283012b1fffff,5.373923250498504,4.442900584262497,26535.0,30205.0,493777.8,0.6454633732946615,usfs-2022,2022,partial
