h3,lidar_pct,lidar_coverage
8828308a37fffff,36.1796,1.0
8828308a3dfffff,59.1551,1.0
8828308a61fffff,84.7985,1.0
8828308a63fffff,75.2991,1.0
8828308a65fffff,89.6617,1.0
8828308a67fffff,87.5886,1.0
8828308aa1fffff,40.3529,1.0
8828308aa3fffff,62.3384,1.0
8828308aa5fffff,35.209,1.0
8828308aa7fffff,40.5432,1.0
8828308aadfffff,52.1885,1.0
8828308ab1fffff,31.4429,1.0
8828308ab3fffff,27.0851,1.0
8828308ab5fffff,43.1626,1.0
8828308ab7fffff,56.2854,1.0
8828308abdfffff,39.3612,1.0
8828308ae5fffff,46.2605,1.0
8828308ae7fffff,32.3848,1.0
8828308b01fffff,30.112,1.0
8828308b03fffff,23.1808,1.0
8828308b05fffff,33.0716,1.0
8828308b07fffff,26.4323,1.0
8828308b09fffff,20.0123,1.0
8828308b0bfffff,19.7601,1.0
8828308b0dfffff,17.2818,1.0
8828308b11fffff,36.3398,1.0
8828308b13fffff,39.3033,1.0
8828308b15fffff,21.6223,1.0
8828308b17fffff,27.1533,1.0
8828308b19fffff,37.1413,1.0
8828308b1bfffff,39.0113,1.0
8828308b1dfffff,26.0883,1.0
8828308b21fffff,27.2262,1.0
8828308b23fffff,11.8466,1.0
8828308b25fffff,29.9461,1.0
8828308b27fffff,27.0584,1.0
8828308b29fffff,36.6519,1.0
8828308b2bfffff,21.5079,1.0
8828308b2dfffff,18.0824,1.0
8828308b31fffff,20.6379,1.0
8828308b33fffff,16.9122,1.0
8828308b35fffff,8.599,1.0
8828308b37fffff,26.1434,1.0
8828308b39fffff,41.6017,1.0
8828308b3bfffff,37.6624,1.0
8828308b3dfffff,10.5845,1.0
8828308b41fffff,21.2377,1.0
8828308b43fffff,31.2069,1.0
8828308b45fffff,22.0071,1.0
8828308b47fffff,18.7097,1.0
8828308b49fffff,72.894,1.0
8828308b4bfffff,57.4163,1.0
8828308b4dfffff,34.4515,1.0
8828308b51fffff,56.4105,1.0
8828308b53fffff,36.968,1.0
8828308b55fffff,27.4561,1.0
8828308b57fffff,30.5851,1.0
8828308b59fffff,81.5182,1.0
8828308b5bfffff,86.4294,1.0
8828308b5dfffff,56.7742,1.0
8828308b61fffff,20.5318,1.0
8828308b63fffff,38.4072,1.0
8828308b65fffff,50.8104,1.0
8828308b67fffff,49.5289,1.0
8828308b69fffff,30.0603,1.0
8828308b6bfffff,13.6187,1.0
8828308b6dfffff,42.9817,1.0
8828308c01fffff,5.0042,1.0
8828308c03fffff,4.899,1.0
8828308c05fffff,5.0,1.0
8828308c07fffff,5.0,1.0
8828308c09fffff,5.1359,1.0
8828308c0bfffff,4.836,1.0
8828308c0dfffff,5.0,1.0
8828308c11fffff,2.2275,1.0
8828308c13fffff,0.5873,1.0
8828308c15fffff,10.0276,1.0
8828308c17fffff,2.1218,1.0
8828308c19fffff,2.366,1.0
8828308c1bfffff,1.4341,1.0
8828308c1dfffff,2.8517,1.0
8828308c21fffff,16.1535,1.0
8828308c23fffff,10.1646,1.0
8828308c25fffff,20.4987,1.0
8828308c27fffff,10.9497,1.0
8828308c29fffff,6.3486,1.0
8828308c2bfffff,7.8984,1.0
8828308c2dfffff,29.0675,1.0
8828308c31fffff,7.6818,1.0
8828308c33fffff,2.6101,1.0
8828308c35fffff,5.661,1.0
8828308c37fffff,4.6669,1.0
8828308c39fffff,6.9479,1.0
8828308c3bfffff,6.4232,1.0
8828308c3dfffff,9.389,1.0
8828308c41fffff,4.9543,1.0
8828308c43fffff,4.9998,1.0
8828308c45fffff,5.0189,1.0
8828308c47fffff,4.919,1.0
8828308c49fffff,3.7078,1.0
8828308c4bfffff,3.884,1.0
8828308c4dfffff,5.7143,1.0
8828308c51fffff,5.2648,1.0
8828308c53fffff,4.2532,1.0
8828308c55fffff,5.1106,1.0
8828308c57fffff,4.1606,1.0
8828308c59fffff,8.2981,1.0
8828308c5bfffff,7.333,1.0
8828308c5dfffff,4.7396,1.0
8828308c61fffff,5.648,1.0
8828308c63fffff,5.0,1.0
8828308c65fffff,11.0013,1.0
8828308c67fffff,6.4427,1.0
8828308c69fffff,4.9544,1.0
8828308c6bfffff,5.842,1.0
8828308c6dfffff,10.194,1.0
