h3,land,land_frac,wc_code
8929aeb1c2fffff,developed,0.758,50
8929aeb1c33ffff,developed,0.968,50
8929aeb1c37ffff,developed,0.951,50
8929aeb1c3bffff,developed,0.918,50
8929aeb1c43ffff,developed,0.784,50
8929aeb1c47ffff,developed,0.978,50
8929aeb1c4bffff,developed,0.864,50
8929aeb1c4fffff,developed,0.976,50
8929aeb1c53ffff,developed,0.907,50
8929aeb1c57ffff,developed,0.985,50
8929aeb1c5bffff,developed,0.797,50
8929aeb1c63ffff,developed,0.822,50
8929aeb1c67ffff,developed,0.543,50
8929aeb1c6bffff,grassland,0.461,30
8929aeb1c6fffff,grassland,0.573,30
8929aeb1c73ffff,developed,0.96,50
8929aeb1c77ffff,developed,0.959,50
8929aeb1c7bffff,developed,0.812,50
8929aeb1c83ffff,developed,0.845,50
8929aeb1c87ffff,developed,0.637,50
8929aeb1c8bffff,developed,0.644,50
8929aeb1c8fffff,developed,0.855,50
8929aeb1c93ffff,developed,0.81,50
8929aeb1c97ffff,developed,0.764,50
8929aeb1c9bffff,developed,0.793,50
8929aeb1ca3ffff,developed,0.953,50
8929aeb1ca7ffff,developed,0.976,50
8929aeb1cabffff,developed,0.973,50
8929aeb1cafffff,developed,0.961,50
8929aeb1cb3ffff,developed,0.977,50
8929aeb1cb7ffff,developed,0.979,50
8929aeb1cbbffff,developed,0.981,50
8929aeb1cc3ffff,developed,0.841,50
8929aeb1cc7ffff,developed,0.921,50
8929aeb1ccbffff,developed,0.867,50
8929aeb1ccfffff,developed,0.965,50
8929aeb1cd3ffff,developed,0.928,50
8929aeb1cd7ffff,developed,0.664,50
8929aeb1cdbffff,developed,0.488,50
8929aeb1d03ffff,woodland,0.593,10
8929aeb1d07ffff,grassland,0.462,30
8929aeb1d0bffff,woodland,0.819,10
8929aeb1d0fffff,bare ground,0.397,60
8929aeb1d13ffff,developed,0.526,50
8929aeb1d17ffff,grassland,0.604,30
8929aeb1d1bffff,grassland,0.412,30
8929aeb1d47ffff,bare ground,0.424,60
8929aeb1d53ffff,developed,0.649,50
8929aeb1d57ffff,grassland,0.44,30
8929aeb1d5bffff,developed,0.486,50
8929aeb1d63ffff,bare ground,0.643,60
8929aeb1d6bffff,bare ground,0.43,60
8929aeb1d6fffff,bare ground,0.945,60
8929aeb1d73ffff,bare ground,0.485,60
8929aeb1d7bffff,woodland,0.543,10
8929aeb1d83ffff,developed,0.891,50
8929aeb1d87ffff,grassland,0.756,30
8929aeb1d8bffff,developed,0.937,50
8929aeb1d8fffff,developed,0.683,50
8929aeb1d93ffff,developed,0.944,50
8929aeb1d9bffff,developed,0.97,50
8929aeb1da3ffff,grassland,0.61,30
8929aeb1da7ffff,woodland,0.547,10
8929aeb1dabffff,woodland,0.718,10
8929aeb1dafffff,grassland,0.503,30
8929aeb1db3ffff,developed,0.642,50
8929aeb1db7ffff,grassland,0.685,30
